Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 23,N#Cc1ccc(cc1)O,C7H5NO,119.12,9,6,0,0,2,1,33.18,44.02,1.17,1.6,1.26,0.79,1.34,1.23,-2.08,9.91E-01,8.32E-03,Soluble,-2.14,8.71E-01,7.31E-03,Soluble,-1.86,1.65E+00,1.39E-02,Soluble,High,Yes,No,Yes,No,No,No,Yes,-5.89,0,3,0,0,1,0.55,0,0,1,1.03
Molecule 24,Nc1ccc(cc1)C(=O)N,C7H8N2O,136.15,10,6,0,1,1,2,38.94,69.11,0.74,-0.41,0.38,0.58,0.26,0.31,-0.8,2.14E+01,1.57E-01,Very soluble,-0.58,3.61E+01,2.65E-01,Very soluble,-1.6,3.44E+00,2.53E-02,Soluble,High,No,No,No,No,No,No,No,-7.42,0,3,0,0,1,0.55,0,1,1,1
Molecule 25,Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,C15H10O5,270.24,20,16,0,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.52,2.11,-3.94,3.07E-02,1.14E-04,Soluble,-4.59,6.88E-03,2.55E-05,Moderately soluble,-4.4,1.07E-02,3.94E-05,Moderately soluble,High,No,No,Yes,No,No,Yes,Yes,-5.8,0,0,0,0,0,0.55,0,0,0,2.96
Molecule 26,Oc1ccc(cc1)c1coc2c(c1=O)ccc(c2)O,C15H10O4,254.24,19,16,0,1,4,2,71.97,70.67,1.77,2.47,2.87,1.08,3.02,2.24,-3.53,7.51E-02,2.95E-04,Soluble,-3.6,6.41E-02,2.52E-04,Soluble,-4.98,2.64E-03,1.04E-05,Moderately soluble,High,Yes,No,Yes,No,No,Yes,Yes,-6.1,0,0,0,0,0,0.55,0,0,0,2.79
Molecule 27,Oc1ccc(cc1)c1coc2c(c1=O)c(O)cc(c2)O,C15H10O5,270.24,20,16,0,1,5,3,73.99,90.9,1.91,2.67,2.58,0.52,2.52,2.04,-3.72,5.11E-02,1.89E-04,Soluble,-4.23,1.59E-02,5.88E-05,Moderately soluble,-4.4,1.07E-02,3.94E-05,Moderately soluble,High,No,No,Yes,No,No,Yes,Yes,-6.05,0,0,0,0,0,0.55,0,0,0,2.87
Molecule 28,Oc1ccc(cc1)C=CC(=O)c1ccc(cc1O)O,C15H12O4,256.25,19,12,0,3,4,3,72.32,77.76,2.02,3.18,2.59,1.58,2.48,2.37,-3.7,5.09E-02,1.99E-04,Soluble,-4.48,8.41E-03,3.28E-05,Moderately soluble,-3.23,1.50E-01,5.86E-04,Soluble,High,Yes,No,Yes,No,Yes,No,Yes,-5.61,0,0,0,0,0,0.55,0,1,0,2.52
Molecule 29,Oc1ccc(cc1)C=Cc1cc(O)cc(c1)O,C14H12O3,228.24,17,12,0,2,3,3,67.88,60.69,1.71,3.13,2.76,2.26,2.57,2.48,-3.62,5.51E-02,2.41E-04,Soluble,-4.07,1.93E-02,8.44E-05,Moderately soluble,-3.29,1.18E-01,5.16E-04,Soluble,High,Yes,No,Yes,No,Yes,No,Yes,-5.47,0,0,0,0,0,0.55,0,1,1,2.02
Molecule 30,Oc1ccc(cc1)CCC(=O)c1c(O)cc(cc1O)O,C15H14O5,274.27,20,12,0.13,4,5,4,74.02,97.99,1.41,2.63,2.32,1.1,2.17,1.93,-3.38,1.15E-01,4.19E-04,Soluble,-4.34,1.26E-02,4.59E-05,Moderately soluble,-3.37,1.16E-01,4.25E-04,Soluble,High,No,No,Yes,No,Yes,No,Yes,-6.11,0,0,0,0,0,0.55,0,0,0,1.88
Molecule 31,N#Cc1cccnc1,C6H4N2,104.11,8,6,0,0,2,0,28.95,36.68,1.14,0.36,0.95,-0.23,1.37,0.72,-1.27,5.63E+00,5.40E-02,Very soluble,-0.7,2.10E+01,2.02E-01,Very soluble,-2.04,9.54E-01,9.16E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.68,0,3,0,0,1,0.55,0,0,1,1.22
Molecule 32,NC(=O)c1cccnc1,C6H6N2O,122.12,9,6,0,1,2,1,32.33,55.98,0.7,-0.37,0.18,-0.43,0.52,0.12,-0.79,1.97E+01,1.62E-01,Very soluble,-0.34,5.55E+01,4.54E-01,Very soluble,-1.57,3.30E+00,2.70E-02,Soluble,High,No,No,No,No,No,No,No,-7.31,0,3,0,0,1,0.55,0,0,1,1
Molecule 33,[O-][N+](=O)OCCNC(=O)c1cccnc1,C8H9N3O4,211.17,15,6,0.25,6,5,1,51.23,97.04,0.71,0.84,0.02,-1.03,-1.47,-0.19,-1.58,5.57E+00,2.64E-02,Very soluble,-2.46,7.31E-01,3.46E-03,Soluble,-1.96,2.30E+00,1.09E-02,Soluble,High,No,No,No,No,No,No,No,-6.99,0,0,0,0,0,0.55,0,2,1,2.15
Molecule 34,Nc1nc2c(s1)cc(cc2)OC(F)(F)F,C8H5F3N2OS,234.2,15,9,0.12,2,5,1,50.71,76.38,2.04,3.61,4.05,1.44,2.93,2.81,-3.88,3.10E-02,1.32E-04,Soluble,-4.9,2.94E-03,1.26E-05,Moderately soluble,-3.25,1.33E-01,5.69E-04,Soluble,High,Yes,No,Yes,Yes,No,No,No,-5.17,0,0,0,0,0,0.55,0,0,2,2.24
Molecule 35,OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F,C14H10F3NO2,281.23,20,12,0.07,4,5,2,67.95,49.33,2.16,5.25,5.3,2.61,3.13,3.69,-5.07,2.39E-03,8.49E-06,Moderately soluble,-6.04,2.59E-04,9.22E-07,Poorly soluble,-5.22,1.68E-03,5.98E-06,Moderately soluble,High,Yes,No,Yes,No,Yes,Yes,No,-4.29,0,0,0,0,1,0.85,0,0,1,2.06
Molecule 36,OC(=O)c1ccccc1O,C7H6O3,138.12,10,6,0,1,3,2,35.42,57.53,1.13,2.26,1.09,0.99,0.74,1.24,-2.5,4.39E-01,3.18E-03,Soluble,-3.1,1.09E-01,7.86E-04,Soluble,-1.17,9.40E+00,6.81E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.54,0,3,0,0,1,0.85,0,0,1,1
Molecule 37,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,C14H11Cl2NO2,296.15,19,12,0.07,4,2,2,77.55,49.33,1.98,4.4,4.36,3.84,3.74,3.66,-4.65,6.61E-03,2.23E-05,Moderately soluble,-5.15,2.08E-03,7.03E-06,Moderately soluble,-5.97,3.20E-04,1.08E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-4.98,0,0,0,0,0,0.85,0,0,1,2.23
Molecule 38,OC(=O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,C16H13Cl2NO4,354.18,23,12,0.12,7,4,2,88.45,75.63,2.35,4.32,3.91,3.38,3.6,3.51,-4.68,7.37E-03,2.08E-05,Moderately soluble,-5.62,8.45E-04,2.39E-06,Moderately soluble,-6.03,3.32E-04,9.38E-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.39,0,0,0,0,0,0.56,0,0,2,2.62
Molecule 39,NC(=O)c1ccccc1,C7H7NO,121.14,9,6,0,1,1,1,34.54,43.09,1.08,0.64,0.79,1.19,1,0.94,-1.42,4.59E+00,3.79E-02,Very soluble,-1.12,9.18E+00,7.58E-02,Very soluble,-1.94,1.39E+00,1.15E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.58,0,3,0,0,1,0.55,0,0,1,1
Molecule 40,OC(=O)c1ccccc1,C7H6O2,122.12,9,6,0,1,2,1,33.4,37.3,1.11,1.87,1.38,1.6,1.24,1.44,-2.2,7.66E-01,6.27E-03,Soluble,-2.27,6.48E-01,5.31E-03,Soluble,-1.72,2.31E+00,1.89E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.72,0,3,0,0,1,0.85,0,0,1,1
Molecule 41,Oc1cc2oc(cc(=O)c2c(c1O)O)c1ccccc1,C15H10O5,270.24,20,16,0,1,5,3,73.99,90.9,2.43,3.16,2.58,0.52,2.52,2.24,-4.03,2.51E-02,9.28E-05,Moderately soluble,-4.74,4.93E-03,1.82E-05,Moderately soluble,-4.4,1.07E-02,3.94E-05,Moderately soluble,High,No,No,Yes,No,No,Yes,Yes,-5.7,0,0,0,0,0,0.55,1,1,0,3.02
Molecule 42,c1ccc(cc1)Cn1ccnc1c1nccn1Cc1ccccc1,C20H18N4,314.38,24,22,0.1,5,2,0,94.95,35.64,2.62,2.99,3.84,2.44,3.22,3.02,-4.02,2.99E-02,9.52E-05,Moderately soluble,-3.4,1.24E-01,3.96E-04,Soluble,-6.76,5.40E-05,1.72E-07,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6.09,0,0,0,0,0,0.55,0,0,0,2.33
Molecule 43,O=c1ccc2c(o1)cccc2,C9H6O2,146.14,11,10,0,0,2,0,42.48,30.21,1.75,1.39,1.79,1.65,2.5,1.82,-2.29,7.42E-01,5.08E-03,Soluble,-1.63,3.44E+00,2.35E-02,Very soluble,-3.59,3.77E-02,2.58E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.2,0,2,0,0,1,0.55,0,1,1,2.74
Molecule 44,NC(=O)N1c2ccccc2C=Cc2c1cccc2,C15H12N2O,236.27,18,12,0,1,1,1,76.05,46.33,2.1,2.45,2.79,2.99,1.65,2.4,-3.28,1.25E-01,5.30E-04,Soluble,-3.07,2.03E-01,8.58E-04,Soluble,-3.93,2.78E-02,1.17E-04,Soluble,High,Yes,Yes,Yes,Yes,No,No,No,-6,0,0,0,0,0,0.55,0,1,1,2.93
Molecule 45,c1ccc2c(c1)cccc2,C10H8,128.17,10,10,0,0,0,0,43.95,0,1.99,3.3,2.84,4.26,3.11,3.1,-3.45,4.51E-02,3.52E-04,Soluble,-2.98,1.36E-01,1.06E-03,Soluble,-4.03,1.19E-02,9.27E-05,Moderately soluble,Low,Yes,No,Yes,No,No,No,No,-4.74,1,2,0,0,2,0.55,0,0,1,1
Molecule 46,NC(=O)c1cnccn1,C5H5N3O,123.11,9,6,0,1,3,1,30.13,68.87,0.74,-0.6,-0.42,-1.66,0.08,-0.37,-0.65,2.74E+01,2.23E-01,Very soluble,-0.37,5.19E+01,4.22E-01,Very soluble,-1.2,7.82E+00,6.35E-02,Soluble,High,No,No,No,No,No,No,No,-7.48,0,4,0,0,1,0.55,0,0,1,1.47
Molecule 47,N#Cc1ccncc1,C6H4N2,104.11,8,6,0,0,2,0,28.95,36.68,1.14,0.46,0.95,-0.23,1.37,0.74,-1.33,4.87E+00,4.67E-02,Very soluble,-0.8,1.65E+01,1.59E-01,Very soluble,-2.04,9.54E-01,9.16E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.61,0,3,0,0,1,0.55,0,0,1,1.25
Molecule 48,NNC(=O)c1ccncc1,C6H7N3O,137.14,10,6,0,2,3,2,35.13,68.01,0.03,-0.7,-0.31,-0.47,-0.27,-0.35,-0.56,3.77E+01,2.75E-01,Very soluble,-0.25,7.66E+01,5.58E-01,Very soluble,-1.64,3.17E+00,2.31E-02,Soluble,High,No,No,No,No,No,No,No,-7.63,0,3,0,0,1,0.55,0,2,1,1.24
Molecule 49,OC(=O)c1cc(c(cc1NCc1ccco1)Cl)S(=O)(=O)N,C12H11ClN2O5S,330.74,21,11,0.08,5,6,3,75.46,131.01,0.85,2.03,2.63,-1.02,0.65,1.03,-3.23,1.96E-01,5.93E-04,Soluble,-4.41,1.29E-02,3.90E-05,Moderately soluble,-4.11,2.54E-02,7.69E-05,Moderately soluble,High,No,No,No,No,No,No,No,-6.88,0,0,0,0,0,0.56,0,0,0,2.43
Molecule 50,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,C8H12N5O4P,273.19,18,9,0.38,5,7,3,62.68,146.19,-0.09,-2.03,-0.43,-2.21,-2.08,-1.37,-0.29,1.39E+02,5.07E-01,Very soluble,-0.51,8.35E+01,3.06E-01,Very soluble,-0.81,4.28E+01,1.57E-01,Soluble,Low,No,No,No,No,No,No,No,-9.41,0,1,1,1,1,0.56,0,1,0,2.87
Molecule 51,OCCOCn1cnc2c1nc(N)[nH]c2=O,C8H11N5O3,225.2,16,9,0.38,4,5,3,55.68,119.05,0.48,-1.56,-1.48,-1.83,-0.57,-0.99,-0.41,8.85E+01,3.93E-01,Very soluble,-0.43,8.32E+01,3.69E-01,Very soluble,-1.28,1.19E+01,5.28E-02,Soluble,High,No,No,No,No,No,No,No,-8.78,0,1,0,0,0,0.55,0,0,1,2.47
Molecule 52,Oc1ccc(cc1)C1CC(=O)c2c(O1)cc(cc2O)O,C15H12O5,272.25,20,12,0.13,1,5,3,71.57,86.99,1.75,2.52,2.19,0.71,2.05,1.84,-3.49,8.74E-02,3.21E-04,Soluble,-3.99,2.77E-02,1.02E-04,Soluble,-3.42,1.04E-01,3.82E-04,Soluble,High,No,Yes,Yes,No,No,No,Yes,-6.17,0,0,0,0,0,0.55,0,0,0,3.01
Molecule 53,NC(=O)CN1CCCC1=O,C6H10N2O2,142.16,10,0,0.67,2,2,1,38.76,63.4,0.79,-1.54,-1.29,-0.96,-0.21,-0.64,0.38,3.42E+02,2.40E+00,Highly soluble,0.72,7.38E+02,5.19E+00,Highly soluble,-0.18,9.31E+01,6.55E-01,Soluble,High,No,No,No,No,No,No,No,-8.26,0,3,0,0,1,0.55,0,0,1,1.15
Molecule 54,O=C1CCC(C(=O)N1)N1Cc2c(C1=O)cccc2N,C13H13N3O3,259.26,19,6,0.31,1,3,2,74.93,92.5,1.06,-0.5,-0.88,0.54,0.61,0.17,-1.3,1.30E+01,5.01E-02,Very soluble,-0.97,2.75E+01,1.06E-01,Very soluble,-2.81,4.06E-01,1.57E-03,Soluble,High,No,No,No,No,No,No,No,-8.24,0,1,0,0,0,0.55,0,2,0,2.33
Molecule 55,O=C1CCC(=O)N1,C4H5NO2,99.09,7,0,0.5,0,2,1,26.34,46.17,0.54,-1.04,-0.96,-0.49,0.75,-0.24,0.2,1.57E+02,1.59E+00,Highly soluble,0.56,3.58E+02,3.62E+00,Highly soluble,-0.74,1.81E+01,1.83E-01,Soluble,High,No,No,No,No,No,No,No,-7.64,0,4,0,0,2,0.55,0,1,1,1
Molecule 56,O=c1[nH]c(=O)n(cc1F)C1CCCO1,C8H9FN2O3,200.17,14,6,0.5,1,4,1,45.93,64.09,1.43,-0.27,0.08,0.68,1.4,0.66,-1.16,1.38E+01,6.89E-02,Very soluble,-0.62,4.84E+01,2.42E-01,Very soluble,-1.54,5.71E+00,2.85E-02,Soluble,High,No,No,No,No,No,No,No,-7.71,0,0,0,0,0,0.55,0,0,1,2.88
Molecule 57,OC(C1CCc2c(O1)ccc(c2)F)CNCC(C1CCc2c(O1)ccc(c2)F)O.Cl,C22H26ClF2NO4,441.9,30,12,0.45,6,7,3,110.31,70.95,0,4.84,4.01,2.85,4.14,3.17,-5.53,1.31E-03,2.96E-06,Moderately soluble,-6.06,3.82E-04,8.64E-07,Poorly soluble,-5.88,5.85E-04,1.32E-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-5.56,0,0,0,0,0,0.55,0,0,2,4.31
Molecule 58,NCC1(CCCCC1)CC(=O)O,C9H17NO2,171.24,12,0,0.89,3,3,2,47.48,63.32,1.44,-1.1,1.37,1,1.24,0.79,-0.01,1.67E+02,9.76E-01,Very soluble,0.26,3.12E+02,1.82E+00,Highly soluble,-1.35,7.56E+00,4.42E-02,Soluble,High,Yes,No,No,No,No,No,No,-8.13,0,0,0,0,1,0.55,0,0,1,1.63
Molecule 59,O=C(N1CC(=O)N2C(C1)c1ccccc1CC2)C1CCCCC1,C19H24N2O2,312.41,23,6,0.58,2,2,0,96.93,40.62,3,2.67,1.45,2.4,2.47,2.4,-3.52,9.43E-02,3.02E-04,Soluble,-3.17,2.09E-01,6.69E-04,Soluble,-3.76,5.47E-02,1.75E-04,Soluble,High,Yes,Yes,No,Yes,No,Yes,Yes,-6.31,0,0,0,0,0,0.55,0,0,0,2.9
Molecule 60,O=C(N1CCCCC1)C=CC=Cc1ccc2c(c1)OCO2,C17H19NO3,285.34,21,6,0.35,4,3,0,85.47,38.77,3.38,3.46,2.51,2.39,3.41,3.03,-3.74,5.24E-02,1.84E-04,Soluble,-3.96,3.16E-02,1.11E-04,Soluble,-3,2.87E-01,1.00E-03,Soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.58,0,0,0,0,0,0.55,0,2,0,2.92
Molecule 61,OC(=O)CCCCC1SSCC1,C8H14O2S2,206.33,12,0,0.88,5,2,1,55.41,87.9,1.81,1.68,2.79,1.57,2.34,2.04,-1.85,2.93E+00,1.42E-02,Very soluble,-3.14,1.49E-01,7.24E-04,Soluble,-1.7,4.12E+00,2.00E-02,Soluble,High,No,No,No,No,No,No,No,-6.37,0,0,0,0,0,0.56,0,1,1,2.87
